Name,Symbol,Atomic Number,Period,Group,CAS
# Period 1
Hydrogen,H,1,1,1,1333-74-0
Helium,He,2,1,18,7440-59-7
# Period 2
Lithium,Li,3,2,1,7439-93-2
Beryllium,Be,4,2,2,7440-41-7
Boron,B,5,2,13,7440-42-8
Carbon,C,6,2,14,7440-44-0
Nitrogen,N,7,2,15,7727-37-9
Oxygen,O,8,2,16,7782-44-7
Fluorine,F,9,2,17,7782-41-4
Neon,Ne,10,2,18,7440-01-9
# Period 3
Sodium,Na,11,3,1,7440-23-5
Magnesium,Mg,12,3,2,7439-95-4
Aluminium,Al,13,3,13,7429-90-5
Silicon,Si,14,3,14,7440-21-3
Phosphorus,P,15,3,15,7723-14-0
Sulfur,S,16,3,16,7704-34-9
Chlorine,Cl,17,3,17,7782-50-5
Argon,Ar,18,3,18,7440-37-1
# Period 4
Potassium,K,19,4,1,7440-09-7
Calcium,Ca,20,4,2,7440-70-2
Scandium,Sc,21,4,3,7440-20-2
Titanium,Ti,22,4,4,7440-32-6
Vanadium,V,23,4,5,7440-62-2
Chromium,Cr,24,4,6,7440-47-3
Manganese,Mn,25,4,7,7439-96-5
Iron,Fe,26,4,8,7439-89-6
Cobalt,Co,27,4,9,7440-48-4
Nickel,Ni,28,4,10,7440-02-0
Copper,Cu,29,4,11,7440-50-8
Zinc,Zn,30,4,12,7440-66-6
Gallium,Ga,31,4,13,7440-55-3
Germanium,Ge,32,4,14,7440-56-4
Arsenic,As,33,4,15,7440-38-2
Selenium,Se,34,4,16,7782-49-2
Bromine,Br,35,4,17,7726-95-6
Krypton,Kr,36,4,18,7439-90-9
# Period 5
Rubidium,Rb,37,5,1,7440-17-7
Strontium,Sr,38,5,2,7440-24-6
Yttrium,Y,39,5,3,7440-65-5
Zirconium,Zr,40,5,4,7440-67-7
Niobium,Nb,41,5,5,7440-03-1
Molybdenum,Mo,42,5,6,7439-98-7
Technetium,Tc,43,5,7,7440-26-8
Ruthenium,Ru,44,5,8,7440-18-8
Rhodium,Rh,45,5,9,7440-16-6
Palladium,Pd,46,5,10,7440-05-3
Silver,Ag,47,5,11,7440-22-4
Cadmium,Cd,48,5,12,7440-43-9
Indium,In,49,5,13,7440-74-6
Tin,Sn,50,5,14,7440-31-5
Antimony,Sb,51,5,15,7440-36-0
Tellurium,Te,52,5,16,13494-80-9
Iodine,I,53,5,17,7553-56-2
Xenon,Xe,54,5,18,7440-63-3
# Period 6
Caesium,Cs,55,6,1,7440-46-2
Barium,Ba,56,6,2,7440-39-3
Lanthanum,La,57,6,3L,7439-91-0
Cerium,Ce,58,6,3L,7440-45-1
Praseodymium,Pr,59,6,3L,7440-10-0
Neodymium,Nd,60,6,3L,7440-00-8
Promethium,Pm,61,6,3L,7440-12-2
Samarium,Sm,62,6,3L,7440-19-9
Europium,Eu,63,6,3L,7440-53-1
Gadolinium,Gd,64,6,3L,7440-54-2
Terbium,Tb,65,6,3L,7440-27-9
Dysprosium,Dy,66,6,3L,7429-91-6
Holmium,Ho,67,6,3L,7440-60-0
Erbium,Er,68,6,3L,7440-52-0
Thulium,Tm,69,6,3L,7440-30-4
Ytterbium,Yb,70,6,3L,7440-64-4
Lutetium,Lu,71,6,3L,7439-94-3
Hafnium,Hf,72,6,4,7440-58-6
Tantalum,Ta,73,6,5,7440-25-7
Tungsten,W,74,6,6,7440-33-7
Rhenium,Re,75,6,7,7440-15-5
Osmium,Os,76,6,8,7440-04-2
Iridium,Ir,77,6,9,7439-88-5
Platinum,Pt,78,6,10,7440-06-4
Gold,Au,79,6,11,7440-57-5
Mercury,Hg,80,6,12,7439-97-6
Thallium,Tl,81,6,13,7440-28-0
Lead,Pb,82,6,14,7439-92-1
Bismuth,Bi,83,6,15,7440-69-9
Polonium,Po,84,6,16,7440-08-6
Astatine,At,85,6,17,7440-68-8
Radon,Rn,86,6,18,10043-92-2
# Period 7
Francium,Fr,87,7,1,7440-73-5
Radium,Ra,88,7,2,7440-14-4
Actinium,Ac,89,7,3A,7440-34-8
Thorium,Th,90,7,3A,7440-29-1
Proactinium,Pa,91,7,3A,7440-13-3
Uranium,U,92,7,3A,7440-61-1
Neptinium,Np,93,7,3A,7439-99-8
Plutonium,Pu,94,7,3A,7440-07-5
Americium,Am,95,7,3A,7440-35-9
Curium,Cm,96,7,3A,7440-51-9
Berkelium,Bk,97,7,3A,7440-40-6
Californium,Cf,98,7,3A,7440-71-3
Einsteinium,Es,99,7,3A,7429-92-7
Fermium,Fm,100,7,3A,7440-72-4
Mendelevium,Md,101,7,3A,7440-11-1
Nobelium,No,102,7,3A,10028-14-5
Lawrencium,Lr,103,7,3A,22537-19-5
Rutherfordium,Rf,104,7,4,53850-36-5
Dubnium,Db,105,7,5,53850-35-4
Seaborgium,Sg,106,7,6,54038-81-2
Bohrium,Bh,107,7,7,54037-14-8
Hassium,Hs,108,7,8,54037-57-9
Meitnerium,Mt,109,7,9,54-38-01-6
Darmstadtium,Ds,110,7,10,54083-77-1
Roentgenium,Rg,111,7,11,54386-24-2
Copernicium,Cn,112,7,12,54084-26-3
Japanium,Nh,113,7,13,54084-70-7
Flerovium,Fl,114,7,14,54085-16-4
Moscovium,Mc,115,7,15,54085-64-2
Livermorium,Lv,116,7,16,54100-71-9
Tennessine,Ts,117,7,17,54101-14-3
Oganesson,Og,118,7,18,54144-19-3
# Period 8
#Ununennium,Uue,119,8,1
#Unbinilium,Ubn,120,8,2
